sourceTaxonName,targetTaxonName,interactionTypeName,sourceTaxonPhylumName,targetTaxonPhylumName
Chaerephon bat coronavirus/Kenya/KY22/2006,Chaerephon,hasHost,Pisuviricota,Chordata
Cardioderma bat coronavirus/Kenya/KY43/2006,Cardioderma cor,hasHost,Pisuviricota,Chordata
Cangyuan orthoreovirus,Rousettus leschenaultii,hasHost,Duplornaviricota,Chordata
Bat calicivirus BtCalV/M63/HUN/2013,Myotis daubentonii,hasHost,Pisuviricota,Chordata
Calicivirus BtCalV/EP38/HUN/2013,Myotis alcathoe,hasHost,Pisuviricota,Chordata
Bat calicivirus BtCalV/BS58/HUN/2013,Eptesicus serotinus,hasHost,Pisuviricota,Chordata
Phnom Penh bat virus,Chiroptera,hasHost,Kitrinoviricota,Chordata
Dakar bat virus,Chiroptera,hasHost,Kitrinoviricota,Chordata
Carey Island virus,Chiroptera,hasHost,Kitrinoviricota,Chordata
Bukalasa bat virus,Chiroptera,hasHost,Kitrinoviricota,Chordata
Ife virus,Eidolon helvum,hasHost,Duplornaviricota,Chordata
Fomede virus,Nycteris nana,hasHost,Duplornaviricota,Chordata
Bukakata virus,Rousettus aegyptiacus,hasHost,Duplornaviricota,Chordata
BtVs-BetaCoV/SC2013,Vespertilio sinensis,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/JX2012,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/HuB2013-a,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/HuB2013,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/HeN2013-b,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/HeN2013-a,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/HeN2013,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/GD2012-b,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/GD2012-a,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/GD2012,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/FJ2012,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtMf-AlphaCoV/AH2011,Miniopterus fuliginosus,hasHost,Pisuviricota,Chordata
BtTp-BetaCoV/GX2012,Tylonycteris pachypus,hasHost,Pisuviricota,Chordata
BtRs-BetaCoV/YN2013,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
BtRs-BetaCoV/HuB2013,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
BtRs-BetaCoV/GX2013,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
BtMd-BetaCoV/HuB2013,Myotis daubentonii,hasHost,Pisuviricota,Chordata
BtMr-AlphaCoV/SAX2011,Myotis ricketti,hasHost,Pisuviricota,Chordata
Alphacoronavirus BtMs-AlphaCoV/GS2013,Myotis,hasHost,Pisuviricota,Chordata
BtNv-AlphaCoV/SC2013,Nyctalus plancyi velutinus,hasHost,Pisuviricota,Chordata
BtPa-BetaCoV/GD2013,Pipistrellus abramus,hasHost,Pisuviricota,Chordata
BtRf-AlphaCoV/HuB2013,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
BtRf-AlphaCoV/YN2012,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
BtRf-BetaCoV/HeB2013,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
BtRf-BetaCoV/HeN2013,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
BtRf-BetaCoV/HuB2013,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
BtRf-BetaCoV/JL2012,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
BtRf-BetaCoV/SX2013,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
Broome virus,Pteropus scapulatus,hasHost,Duplornaviricota,Chordata
Brno virus,Nyctalus noctula,hasHost,Negarnaviricota,Chordata
Brno virus,Nyctalus noctula,hasHost,Negarnaviricota,Chordata
Bombali ebolavirus,Mops condylurus,hasHost,Negarnaviricota,Chordata
Bombali ebolavirus,Mops condylurus,hasHost,Negarnaviricota,Chordata
Bombali ebolavirus,Chaerephon pumilus,hasHost,Negarnaviricota,Chordata
Bombali ebolavirus,Mops condylurus,hasHost,Negarnaviricota,Chordata
Lagos bat lyssavirus,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Rhinolophus pusillus norovirus,Rhinolophus pusillus,hasHost,Pisuviricota,Chordata
Rhinolophus pusillus norovirus,Rhinolophus pusillus,hasHost,Pisuviricota,Chordata
Rhinolophus pusillus coronavirus,Rhinolophus pusillus,hasHost,Pisuviricota,Chordata
Rhinolophus pusillus coronavirus,Rhinolophus pusillus,hasHost,Pisuviricota,Chordata
Rhinolophus pusillus coronavirus,Rhinolophus pusillus,hasHost,Pisuviricota,Chordata
Rhinolophus pusillus astrovirus,Rhinolophus pusillus,hasHost,Pisuviricota,Chordata
Rhinolophus pusillus astrovirus,Rhinolophus pusillus,hasHost,Pisuviricota,Chordata
Rhinolophus ferrumequinum coronavirus,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
Rhinolophus ferrumequinum astrovirus,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
Rhinolophus ferrumequinum astrovirus,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
Coronavirus BtRt-BetaCoV/GX2018,Rhinolophus affinis,hasHost,Pisuviricota,Chordata
Coronavirus BtRs-BetaCoV/YN2018D,Rhinolophus affinis,hasHost,Pisuviricota,Chordata
Coronavirus BtRs-BetaCoV/YN2018C,Rhinolophus affinis,hasHost,Pisuviricota,Chordata
Coronavirus BtRs-BetaCoV/YN2018B,Rhinolophus affinis,hasHost,Pisuviricota,Chordata
Coronavirus BtRs-BetaCoV/YN2018A,Rhinolophus affinis,hasHost,Pisuviricota,Chordata
Coronavirus BtRs-AlphaCoV/YN2018,Cynopterus sphinx,hasHost,Pisuviricota,Chordata
Coronavirus BtRl-BetaCoV/SC2018,Rhinolophus,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/V16/HUN/2013,Myotis daubentonii,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/OCR11/Pte_par/CRC/2011,Pteronotus parnellii,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/M9/HUN/2013,Rhinolophus hipposideros,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/M8/HUN/2013,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/M67/HUN/2013,Myotis nattereri,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KP817/Phy_dis/PAN/2011,Phyllostomus discolor,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KP816/Phy_dis/PAN/2011,Phyllostomus discolor,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KP565/Art_jam/PAN/2010,Artibeus jamaicensis,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KP534/Art_lit/PAN/2010,Artibeus lituratus,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KP524/Art_jam/PAN/2010,Artibeus jamaicensis,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KP256/Art_jam/PAN/2010,Artibeus jamaicensis,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR91/Car_per/CRC/2010,Carollia perspicillata,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR90/Car_per/CRC/2010,Carollia perspicillata,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR372/Car_per/CRC/2010,Carollia perspicillata,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR370/Pte_par/CRC/2011,Pteronotus parnellii,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR293/Ano_geo/CRC/2010,Anoura geoffroyi,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR291/Ano_geo/CRC/2010,Anoura geoffroyi,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR289/Ano_geo/CRC/2010,Anoura geoffroyi,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR253/Car_per/CRC/2010,Carollia perspicillata,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR252/Car_per/CRC/2010,Carollia perspicillata,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR24/Ano_geo/CRC/2010,Anoura geoffroyi,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR230/Pte_par/CRC/2010,Pteronotus parnellii,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/KCR216/Car_per/CRC/2010,Carollia perspicillata,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/E63/HUN/2013,Rhinolophus euryale,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/BS49/HUN/2013,Pipistrellus pygmaeus,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/BRAP103/Mol_cur/BRA/2009,Molossus currentium,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/BRA344/Car_bre/BRA/2009,Carollia brevicauda,hasHost,Pisuviricota,Chordata
Betacoronavirus BtCoV/KCR15/Pte_par/CRC/2012,Pteronotus parnellii,hasHost,Pisuviricota,Chordata
Betacoronavirus BtCoV/KCR155/Pte_par/CRC/2012,Pteronotus parnellii,hasHost,Pisuviricota,Chordata
Betacoronavirus BtCoV/KCR180/Pte_par/CRC/2012,Pteronotus parnellii,hasHost,Pisuviricota,Chordata
Betacoronavirus BtCoV/KCR22/Pte_par/CRC/2012,Pteronotus parnellii,hasHost,Pisuviricota,Chordata
Betacoronavirus BtCoV/KCR260/Car_per/CRC/2012,Carollia perspicillata,hasHost,Pisuviricota,Chordata
Coronavirus BCoV/PB675/Art_lit/PAN/2011,Artibeus lituratus,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/B85/HUN/2013,Myotis myotis,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/BRA100/Car_per/BRA/2009,Carollia perspicillata,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/BRA114/Car_bre/BRA/2009,Carollia brevicauda,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/BRA118/Car_per/BRA/2009,Carollia perspicillata,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/BRA119/Car_per/BRA/2009,Carollia perspicillata,hasHost,Pisuviricota,Chordata
Coronavirus BtCoV/BRA182/Mol_ruf/BRA/2009,Molossus rufus,hasHost,Pisuviricota,Chordata
Sokoluk virus,Pipistrellus pipistrellus,hasHost,Kitrinoviricota,Chordata
Phnom Penh bat virus,Cynopterus brachyotis,hasHost,Kitrinoviricota,Chordata
Benxi bat virus,Rhinolophus ferrumequinum,hasHost,Negarnaviricota,Chordata
Batu Cave virus,Cynopterus brachyotis,hasHost,Kitrinoviricota,Chordata
Bat SARS-like coronavirus YNLF_34C,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus YNLF_31C,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus WIV1,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus RsSHC014,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4110,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4108,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4105,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4097,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4096,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4092,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4090,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4087-2,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4087-1,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs3262-1,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs3262-2,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs3267-1,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs3267-2,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs3367,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs3369,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4075,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4079,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4080,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4081,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4084,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus Rs4085,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
SARS coronavirus Rs_672/2006,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS Cov Rs806/2006,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat sapovirus TLC72/HK,Hipposideros pomona,hasHost,Pisuviricota,Chordata
Bat sapovirus TLC58/HK,Hipposideros pomona,hasHost,Pisuviricota,Chordata
Bat sapovirus TLC39/HK,Hipposideros pomona,hasHost,Pisuviricota,Chordata
Bat sapovirus TLC38/HK,Hipposideros pomona,hasHost,Pisuviricota,Chordata
Bat sapovirus TLC34/HK,Hipposideros pomona,hasHost,Pisuviricota,Chordata
Bat picornavirus 3,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat picornavirus 3,Hipposideros armiger,hasHost,Pisuviricota,Chordata
Bat picornavirus 2,Miniopterus magnater,hasHost,Pisuviricota,Chordata
Bat picornavirus 2,Miniopterus magnater,hasHost,Pisuviricota,Chordata
Bat picornavirus 1,Miniopterus pusillus,hasHost,Pisuviricota,Chordata
Bat picornavirus 1,Miniopterus schreibersii,hasHost,Pisuviricota,Chordata
Bat picornavirus,Pipistrellus pipistrellus,hasHost,Pisuviricota,Chordata
Bat picornavirus,Miniopterus schreibersii,hasHost,Pisuviricota,Chordata
Bat picobirnavirus C2,Chiroptera,hasHost,Pisuviricota,Chordata
Bat picobirnavirus C1,Chiroptera,hasHost,Pisuviricota,Chordata
Bat pestivirus BtSk-PestV-4/GX2017,Scotophilus kuhlii,hasHost,Kitrinoviricota,Chordata
Bat pestivirus BtSk-PestV-3/GX2017,Scotophilus kuhlii,hasHost,Kitrinoviricota,Chordata
Bat pestivirus BtSk-PestV-2/GX2017,Scotophilus kuhlii,hasHost,Kitrinoviricota,Chordata
Bat pestivirus BtSk-PestV-1/GX2017,Scotophilus kuhlii,hasHost,Kitrinoviricota,Chordata
Bat Paramyxovirus Eid_hel/ZFB08-07/Zambia/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/ZFB08-07/Zambia/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/ZFB08-07/Zambia/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/ZFB08-07/Zambia/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat paramyxovirus Eid.hel/GH45/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/Nig955/2010,Hipposideros,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH6/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH6//2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH48/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH47/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH4/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH36/2008,Afronycteris nana,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH33/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH31/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH30/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH3/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH3//2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH28/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH27a/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH25/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH24a/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH24/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH22/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH21a/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH20/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH2/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH2//2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH1a/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH19/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH18/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH18/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH17/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH16/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH15/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH13a/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH12/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH11/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Paramyxovirus bat/GH10/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat paramyxovirus R_aeg_UPE766/525/122,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB2009/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB1704/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB1590/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB1583/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB1494/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB1493/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB1456/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB1418/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB1415/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB1404/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB1400/GAB/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB09182/GAB/2009,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB09172/GAB/2009,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB09164/GAB/2009,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/GB09156/GAB/2009,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/CO2784/CON/2006,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/CO2569/CON/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/CO2009/CON/2005,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Rou_aeg/Bel125/GAB/2009,Rousettus aegyptiacus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Pte_par/KCR370/CR/2010,Pteronotus parnellii,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Pte_par/KCR245M/CR/2010,Pteronotus parnellii,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Pte_par/KCR245H/CR/2010,Pteronotus parnellii,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Pteropodidae/RCA-P19/RCA/2008,Pteropodidae,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_tor/GB1386/GAB/2005,Myonycteris torquata,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_tor/CO2225/CON/2005,Myonycteris torquata,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_tor/CD356/DRC/2009,Myonycteris torquata,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_mys/NM98-47/GER/2008,Myotis mystacinus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_mys/NM98-44/GER/2008,Myotis mystacinus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_mys/NM98-140/GER/2008,Myotis mystacinus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_myo/N78-16/GER/2008,Myotis myotis,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_myo/N78-14/GER/2008,Myotis myotis,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_dau/NMS09-48/GER/2009,Myotis daubentonii,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_cap/6-43/BGR/2009,Myotis capaccinii,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_bec/NM98-46/GER/2008,Myotis bechsteinii,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Myo_alc/3-320/BGR/2009,Myotis alcathoe,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Min_inf/GB09512/GAB/2009,Miniopterus inflatus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Meg_woe/CO2139/CON/2005,Megaloglossus woermanni,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hyp_mon/RCA-P18/RCA/2008,Hypsignathus monstrosus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hyp_mon/RCA-P17/RCA/2008,Hypsignathus monstrosus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hyp_mon/RCA-P15/RCA/2008,Hypsignathus monstrosus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hyp_mon/CO2569/CON/2006,Hypsignathus monstrosus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_spec/GH19-T/GHA/2009,Hipposideros,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_rub/GH19-140/GHA/2009,Hipposideros ruber,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_rub/GB19-S/GHA/2009,Hipposideros ruber,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_gig/GB09898/GAB/2009,Hipposideros gigas,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_gig/GB09685/GAB/2009,Hipposideros gigas,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_gig/GB09682/GAB/2009,Hipposideros gigas,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_caf/GB59-30/GHA/2009,Hipposideros caffer,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_caf/GB09790/GAB/2009,Hipposideros caffer,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_caf/GB09670/GAB/2009,Hipposideros caffer,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_caf/GB091001/GAB/2009,Hipposideros caffer,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Hip_aba/GB59-59/GHA/2009,Hipposideros abae,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Glo_sor/BR190/BRA/2009,Glossophaga soricina,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Epo_spe/CD256/DRC/2009,Epomophorus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Epo_gam/CD273/DRC/2009,Epomophorus gambianus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Epo_gam/CD255/DRC/2009,Epomophorus gambianus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Epo_gam/CD078/DRC/2009,Epomophorus gambianus,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/RCA-P4/RCA/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/RCA-P09/RCA/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/RCA-P05/RCA/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH93/GHA/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH9-02/GHA/2008,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH85/GHA/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH72/GHA/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH-M90a/GHA/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH-M77/GHA/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH-M69a/GHA/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH-M67a/GHA/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH-M63a/GHA/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH-M61a/GHA/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH-M51a/GHA/2009,Eidolon helvum,hasHost,Negarnaviricota,Chordata
Bat Paramyxovirus Eid_hel/GH-M5/GHA/2010,Eidolon helvum,hasHost,Negarnaviricota,Chordata
